id,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15
0.0,0.002701410350775459,1.5026085597125895e-25,0.0,7.314902477817447e-07,0.00032837987216956005,8.110578756644487e-32,7.968463778413837e-23,1.6615703082676523e-55,0.22048367281305814,0.0,0.0,0.0,1.3364546290164178e-05,0.0,0.0,0.0
1.0,0.2001211486269938,2.309239703086016e-26,7.059721258304289e-21,0.0006218427248164447,5.8855925603842316e-05,1.120360026684723e-12,1.8570696170728408e-08,3.73503686040487e-25,2.5249176186228484,6.0638499699104885e-24,0.0022718642795016533,0.03281049279414872,0.4945560822386036,0.0,0.0,0.0
2.0,0.005219648412839146,0.0,8.094916135284211e-17,4.4664027580908517e-20,0.0003214673559879569,3.961819775039317e-12,7.705687900497492e-16,4.282702123679284e-21,0.5686541311670846,0.0,0.0037647304917331997,0.0,0.038386701752214765,0.0,0.00813064781897252,0.0
3.0,0.009063055313018683,0.0,9.827367859692438e-18,5.4221297799048976e-21,0.00036842326628339095,4.80957543426715e-13,9.354561624397604e-17,5.199120630399505e-22,1.9130780754121546,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.450784592058673,5.468664964554272e-09,0.0012329550268412141,6.860622773966451e-08,0.00013439143126161264,5.855546951877979e-10,3.84294032717929e-11,1.2956113503861422e-09,3.3318071335271098,3.1333608592569955e-05,0.10268491591735061,0.0016914699710710106,1.4274382917599717,0.014946124079548281,0.0003080690187316844,0.0
5.0,0.4456037168514774,0.0,0.00013013022153833217,2.6763158466056123e-08,1.4171693807013492e-07,2.1122489124419975e-05,0.0002686735126701517,0.00015403715465264563,3.287232804157132,0.0,0.0,0.0,1.3223503275082718,8.08506082413368e-07,0.0024361802154718422,0.0
6.0,0.061085110664035526,1.4532380549895825e-10,9.71607003379947e-05,2.476499710859589e-08,0.00045045174663293185,1.577091225022695e-05,0.00020060295105070117,0.00011501062279920469,2.430714768422558,0.0,0.0,0.0,0.10088681514374752,0.0,0.0,0.0
7.0,0.4863511304087347,6.282004749099287e-10,0.004436285546907896,1.505781724230617e-08,4.140988830580692e-06,0.0007200881472199466,0.009159382027066985,0.005251299773366285,2.9974761004130785,0.0,0.11231709683507343,0.007089741046470586,1.9297630421926644,0.029174482832628825,0.14051624326697346,0.13383838630738568
8.0,0.4240446957641507,5.097245608313877e-09,7.431677008865624e-23,4.1004578842952685e-26,5.53160978262138e-05,3.6463057205078044e-18,1.433211407437185e-16,3.931808356807306e-27,3.278420681640862,0.0,0.0,0.0,0.7338373772370685,0.0,0.0,0.0
9.0,0.013599071674466343,8.996410163248446e-09,3.883446841527868e-17,1.7305961717354764e-06,0.005009022063544415,1.9004744521214004e-12,4.0825622546780895e-16,2.0543765261079626e-21,2.139134479894055,0.0,0.0,0.0,0.0,0.0,0.0,0.0
