0,41
1,41
2,8
3,8
4,8
5,8
6,8
7,16
8,16
9,26
10,10
11,16
12,26
13,3
14,27
15,37
16,28
17,41
18,41
19,26
20,10
21,30
22,10
23,6
24,6
25,6
26,6
27,6
28,6
29,6
30,6
31,6
32,6
33,6
34,6
35,6
36,6
37,6
38,6
39,6
40,6
41,9
42,17
43,33
44,33
45,37
46,37
47,7
48,7
49,31
50,29
51,9
52,36
53,36
54,24
55,24
56,8
57,8
58,3
59,8
60,25
61,25
62,0
63,8
64,0
65,27
66,35
67,39
68,39
69,39
70,29
71,29
72,11
73,41
74,41
75,34
76,7
77,30
78,5
79,5
80,39
81,39
82,28
83,31
84,31
85,41
86,0
87,28
88,3
89,3
90,35
91,35
92,10
93,6
94,19
95,19
96,7
97,15
98,15
99,15
100,15
101,15
102,18
103,25
104,1
105,30
106,39
107,0
108,35
109,39
110,35
111,35
112,35
113,7
114,7
115,7
116,12
117,11
118,2
119,34
120,41
121,28
122,32
123,12
124,15
125,15
126,3
127,11
128,9
129,27
130,27
131,24
132,8
133,9
134,5
135,12
136,12
137,3
138,8
139,37
140,37
141,16
142,28
143,35
144,29
145,17
146,39
147,30
148,32
149,32
150,1
151,6
152,29
153,31
154,20
155,13
156,32
157,25
158,23
159,23
160,0
161,21
162,20
163,31
164,37
165,7
166,0
167,38
168,27
169,12
170,12
171,7
172,36
173,10
174,8
175,3
176,36
177,36
178,36
179,32
180,32
181,25
182,25
183,28
184,39
185,15
186,29
187,39
188,39
189,39
190,39
191,32
192,18
193,18
194,18
195,18
196,19
197,9
198,19
199,19
200,9
201,9
202,9
203,19
204,9
205,9
206,9
207,9
208,3
209,23
210,23
211,8
212,30
213,16
214,36
215,41
216,37
217,29
218,41
219,41
220,41
221,41
222,41
223,41
224,41
225,41
226,30
227,11
228,41
229,6
230,30
231,32
232,36
233,23
234,23
235,23
236,23
237,23
238,23
239,23
240,23
241,23
242,23
243,23
244,23
245,7
246,33
247,21
248,41
249,28
250,1
251,12
252,3
253,30
254,29
255,30
256,28
257,27
258,4
259,10
260,10
261,12
262,32
263,7
264,21
265,16
266,16
267,21
268,41
269,37
270,27
271,3
272,37
273,37
274,37
275,27
276,27
277,32
278,32
279,2
280,36
281,8
282,0
283,1
284,32
285,8
286,8
287,39
288,29
289,27
290,38
291,27
292,27
293,33
