id,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11
0.0,0.002485368302962909,0.0012964543760200758,0.010546024691226973,1.342051436861421e-07,1.6519546251415058e-05,5.87577553179266e-06,0.014781378265162015,0.006297802612107516,0.09092243932551979,0.0,0.0008394309352467288,1.166849279608904e-80
1.0,0.0010975743643860986,7.4274287977600626e-06,0.02317328683860352,3.7582658524724325e-06,0.0001602373852547851,1.122113542910848e-07,0.008622456663346812,0.0029621801562125043,0.11237623810434753,0.009488546327076984,0.0028486545519631084,1.5232191218937987e-70
2.0,1.601461028489429e-05,5.044156129206257e-07,0.0015976417248179824,6.351868466786217e-10,3.921537425833133e-08,4.889949099677963e-10,0.0025897766353840303,0.0013177665814176221,0.011028314975467943,9.13790457153464e-58,1.1890554403681856e-29,3.504889973683469e-81
3.0,0.00027369301036898723,6.391611671119335e-07,0.0018760654571526368,9.857192607732666e-11,0.0001798960340336841,1.077943466174817e-05,0.0028111627895426278,0.0015599309281989831,0.012891080588724815,4.389691023338853e-58,4.931968840356787e-21,0.0008406738601288648
4.0,0.0002603052069114272,1.532246801959815e-06,0.001631459164697886,4.910978084575992e-10,1.441654383299485e-07,1.6159219821997203e-07,0.002673189571270678,0.0013382244337136102,0.011233536808641097,5.1379708407145845e-58,1.2117678477148363e-29,1.7711959420883373e-26
5.0,0.00025159503395821067,9.914011494143018e-05,0.0020713326790971834,9.212906310933057e-09,4.438599821497883e-06,5.0454678683134695e-09,0.0028577771814367672,0.0018682589445978167,0.01557415643461355,0.000264982531215409,9.86618219958646e-07,1.4398302256568643e-78
6.0,0.012603383671509573,5.112693477362039e-07,0.0016144709977057251,6.404047074208824e-10,8.022595284727882e-08,3.794503346199651e-07,0.10788685942377838,0.0013258809328892747,0.011032204157134984,1.2548806783890058e-116,3.6127530587121134e-31,1.8783953007994399e-184
7.0,5.006701825853286e-05,0.0001932964159193752,0.007545474357781952,4.497837232922598e-08,0.0007265161301804429,5.185207385403465e-08,0.002611988187713977,0.0016093793530171261,0.0572582844689662,1.1724532094933715e-82,0.004181667930385655,2.6003889061257735e-73
8.0,2.8475340187889927e-05,7.977830424427543e-06,0.04454207524135795,1.8550476747430552e-07,6.746732113137324e-06,2.98172713170447e-08,0.0024973081206187925,0.0021672156484231144,0.2720353871379472,3.399458874320727e-74,0.002265714243328052,3.0958724387106096e-59
9.0,1.8414708871010617e-05,0.002990142066950957,0.0017021153005070888,8.903616107009658e-10,3.183398309570502e-05,5.526846147110394e-10,0.0026140237364076576,0.016728235370524563,0.011858304784772419,6.829215941299976e-56,8.03891421990275e-05,1.3056470695530939e-77
